ID,Capacidade,Evidência actual,Estado,Risco,Causa-raiz,Dependências,Teste de aceitação,Rollout
G-001,Qualidade base (fmt/lang/check/clippy/test/doc/deny),"raw/summary.tsv: 7/7 exit 0; 1626 pass, 0 fail, 1 ignored; 5 doctests",PASS,P3,—,—,Manter os gates,—
G-002,Testes live Proxmox/TrueNAS,crates/*/tests/live.rs retornam cedo sem DELONIX_*_TEST_*; contados como pass,NOT TESTED,P2,Skip silencioso em vez de #[ignore],Nó Proxmox + TrueNAS de teste,Correr com as env vars; converter early-return em #[ignore] ou skip explícito,Harness apenas
G-003,Job de caos na CI,"chaos.yml run 34988281401: chaos harness skipped, workflow success",FAIL,P1,O gate userns salta o job e o workflow fica verde,Runner com userns,Job falha em vez de ficar skipped,CI
G-004,Bateria E2E,"e2e.sh sobre fa8c6297: PASS 729 / FAIL 1 / SKIP 5, rc=1, 152 s (raw/e2e-summary.txt)",PARTIAL,P2,A única falha é o limiar do check (pids +3) abaixo do custo real de uma sonda em curso (+4); sem zombies em 40 s,—,Check tolera o watchdog da sonda; 0 FAIL,Harness
G-005,Conformidade CRI (rootless),critest v1.36.0 sobre fa8c6297: Ran 103 of 122 — 82 Passed / 21 Failed / 19 Skipped (raw/critest.log); +3 vs v0.63.1 (AppArmor),PARTIAL,P1,"10 host environment, 3 rootless, 3 bug, 2 missing feature, 1 divergência, 2 unknown (cri-conformance.md)",Rootful para AppArmor/propagation,Corrida rootful + bugs de imagem corrigidos,
G-006,Benchmarks vs Docker/Podman,comparacao-medida.md v0.53.0/v0.63.1,STALE EVIDENCE,P3,Sem regeneração,bench.sh em host sem carga,Mediana/p95/p99 publicados para fa8c6297,—
G-007,Secrets em tmpfs (--secret-files),delonix-runtime/src/lib.rs:2417 ignora o resultado do mount tmpfs e depois escreve os segredos; remount RO também ignorado (:2435),FAIL,P1,let _ = mount(...) em controlo de segurança (fail-open),—,Forçar falha do mount tmpfs → run deve falhar e nenhum ficheiro de segredo pode existir no rootfs/upper,Correcção no motor; lido no código — não reproduzido ao vivo
G-008,Anti-spoof nft (veth/tap),"CONFIRMADO por injecção: shim nft falha só o insert anti-spoof → container run rc=0, IP atribuído, fwdeny sem a regra; controlo sem shim tem a regra (raw/g008-*)",FAIL,P1,"clear_antispoof seguido de run_ok(nft) que descarta o resultado (infra.rs:2791,2876,3033)",Holder isolado,Falha do insert → attach falha e o container não arranca; regra presente após attach,Correcção no holder (exige respawn)
G-009,Masked/readonly paths e rlimits,lib.rs:3262 falha de mount só avisa; mask_proc_paths ignora erros; setrlimit ignorado (:2547),PARTIAL,P1,Hardening best-effort,—,Falha de mask/rlimit pedido explicitamente → container recusado,Decisão: fail-closed para pedido explícito
G-010,Read-only recursivo (rro),remount RO não recursivo (lib.rs:1227-1241); CRI recursive_read_only não lido,UNSUPPORTED,P2,Não implementado; flag recursiva ignorada em remount,mount_setattr AT_RECURSIVE (já usado no hot-plug),Bind com submount → submount também RO; critest rro,Motor
